Deal ID,Deal Owner, Deal Amount ,Project name,Deal_Closing_Date,Stage,Probability,Created_By,Modified_By,Created_Time,Modified_Time,Currency,Exchange_Rate,Last_Activity_Time,Sales_Cycle_Duration,Overall_Sales_Duration,User_Modified_Time,System_Modified_Time,Change_Log_Time__s,City_State,Country,Potential_Lead_Source,Focussed_Non_focussed_Industry,Industry_Type,Management_Type2,Client_Type,Ownership_Type,Date_on_which_proposal_sent,Original_expected_closure_date,Date_on_which_became_a_Potential,Engagement_Tenure_months,Date_on_which_became_a_Qualified_Prospect,Monthly_recurring_revenue_amount,Date_on_which_walk_through_scheduled,Date_on_which_walk_through_conducted,Services,Engagement_type,CEC_Video_Used,Client_s_Problem_Statement,Nature_of_Potential,Date_on_which_follow_up_conducted,Date_on_which_converted_to_a_client,Date_on_which_follow_up_scheduled,Mandate_start_date,Mandate_end_date,Methodology,Date_on_which_client_lost,Reason_for_loss_of_potential,Payment_Method,Designation of Deal contact,SBU,Financial_Year,Potential_Rating,Wether_Related_To,Project_Tag,Date_on_which_became_Need_Identification,GTM Segment1,Category_A_B_C,Stage group,How_do_we_perceive_the_client,Quality_Score,How_does_the_client_position_us
655193000001701163,655193000001491001,  -   ,1,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Chief Executive Officer,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701162,655193000001491001,  -   ,2,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Founder's Office / Chief of Staff,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701159,655193000001491001,  -   ,3,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,"Vice President, Go-to-Market (GTM) Strategy & Growth",,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701158,655193000001491001,  -   ,4,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Chief Customer Officer,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701131,655193000001491001,  -   ,5,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Founder & CEO,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701130,655193000001491001,  -   ,6,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Co-Founder & CEO,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701119,655193000001491001,  -   ,7,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Founder and CEO,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701113,655193000001491001,  -   ,8,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Chief Technology Officer,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701102,655193000001491001,  -   ,9,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,VP of Marketing,,,Cold,,Solution Design,,Others,C,Lead,,,
655193000001701099,655193000001491001,  -   ,10,,Lead - Attempt to Contact,10,655193000001491001,655193000001491001,7/11/24 16:03,7/12/24 0:35,USD,0,7/12/24 0:35,,,,7/12/24 0:35,,California,USA,Founder - SV,Focused,IT SAAS,,,,,,,,,,,,,,Yes,,New,,,,,,,,,,Founder and CEO,,,Cold,,Solution Design,,Others,C,Lead,,,
